epoch,train_loss,val_loss
1,0.2811,0.2022
2,0.1876,0.1529
3,0.1374,0.1155
4,0.1076,0.0898
5,0.0884,0.0772
6,0.0742,0.0644
7,0.0682,0.0567
8,0.0606,0.0490
9,0.0562,0.0426
10,0.0519,0.0409
11,0.0510,0.0401
12,0.0469,0.0369
13,0.0464,0.0365
14,0.0457,0.0343
15,0.0427,0.0315
16,0.0423,0.0321
17,0.0406,0.0313
18,0.0406,0.0271
19,0.0395,0.0295
20,0.0401,0.0275
21,0.0385,0.0284
22,0.0389,0.0268
23,0.0383,0.0260
24,0.0371,0.0273
25,0.0373,0.0265
26,0.0369,0.0239
27,0.0349,0.0252
28,0.0350,0.0225
29,0.0353,0.0248
30,0.0343,0.0212
31,0.0339,0.0233
32,0.0341,0.0217
33,0.0348,0.0223
34,0.0343,0.0224
35,0.0279,0.0151
36,0.0257,0.0153
37,0.0249,0.0140
38,0.0245,0.0148
39,0.0241,0.0134
40,0.0240,0.0143
41,0.0242,0.0134
42,0.0243,0.0131
43,0.0239,0.0130
44,0.0235,0.0138
45,0.0237,0.0123
46,0.0232,0.0134
47,0.0235,0.0137
48,0.0234,0.0144
49,0.0232,0.0126
50,0.0211,0.0113
